Player	Team	Games	Position	TurnoverPct	ReboundPct	AssistPct	FieldGoalPct
James Jones	CLE	48.0	SmallForward	9.0	5.5	5.2	47.8
Terrence Jones	TOT	54.0	PowerForward	7.8	12.7	7.3	47.0
Terrence Jones	NOP	51.0	PowerForward	7.9	12.6	7.4	47.3
Terrence Jones	MIL	3.0	PowerForward	0.0	29.1	0.0	0.0
Tyus Jones	MIN	60.0	PointGuard	16.0	5.0	28.0	41.4
DeAndre Jordan	LAC	81.0	Center	13.2	24.2	5.7	71.39999999999999
Cory Joseph	TOR	80.0	ShootingGuard	13.1	6.6	20.0	45.2
Frank Kaminsky	CHO	75.0	Center	8.0	9.5	13.5	39.900000000000006
Enes Kanter	OKC	72.0	Center	12.5	17.4	7.9	54.50000000000001
Ryan Kelly	ATL	16.0	PowerForward	11.5	9.0	10.2	28.599999999999998
Michael Kidd-Gilchrist	CHO	81.0	SmallForward	7.4	13.2	7.4	47.699999999999996
Sean Kilpatrick	BRK	70.0	ShootingGuard	13.9	8.4	14.6	41.5
Brandon Knight	PHO	54.0	ShootingGuard	13.1	5.6	17.8	39.800000000000004
Kyle Korver	TOT	67.0	ShootingGuard	11.5	5.9	9.4	46.400000000000006
Kyle Korver	ATL	32.0	ShootingGuard	13.4	5.5	12.6	43.9
Kyle Korver	CLE	35.0	ShootingGuard	9.5	6.2	6.1	48.699999999999996
Kosta Koufos	SAC	71.0	Center	12.7	16.4	5.3	55.1
Mindaugas Kuzminskas	NYK	68.0	SmallForward	11.3	6.7	10.3	42.8
Skal Labissiere	SAC	33.0	PowerForward	12.9	15.3	7.5	53.7
Jeremy Lamb	CHO	62.0	ShootingGuard	6.8	12.7	11.3	46.0
Nicolas Laprovittola	SAS	18.0	PointGuard	27.2	3.3	23.0	42.6
Joffrey Lauvergne	TOT	70.0	PowerForward_Center	13.2	14.1	10.8	44.0
Joffrey Lauvergne	OKC	50.0	PowerForward	12.9	13.7	10.3	45.5
Joffrey Lauvergne	CHI	20.0	Center	14.0	15.2	12.2	40.2
Zach LaVine	MIN	47.0	ShootingGuard	9.9	5.3	12.6	45.9
Ty Lawson	SAC	69.0	PointGuard	17.3	6.0	30.0	45.4
Jake Layman	POR	35.0	SmallForward	10.2	5.3	6.2	29.2
Courtney Lee	NYK	77.0	ShootingGuard	8.5	5.7	10.6	45.6
David Lee	SAS	79.0	PowerForward	14.9	16.9	13.0	59.0
Alex Len	PHO	77.0	Center	15.5	17.8	4.2	49.7
Kawhi Leonard	SAS	74.0	SmallForward	9.1	9.8	18.9	48.5
Meyers Leonard	POR	74.0	PowerForward	8.1	10.7	8.4	38.6
Jon Leuer	DET	75.0	PowerForward	8.7	11.3	8.6	48.0
Caris LeVert	BRK	57.0	SmallForward	12.3	8.0	13.7	45.0
DeAndre Liggins	TOT	62.0	ShootingGuard	20.8	7.7	9.2	38.7
DeAndre Liggins	CLE	61.0	ShootingGuard	21.6	7.4	9.5	38.2
DeAndre Liggins	DAL	1.0	ShootingGuard	0.0	16.3	0.0	50.0
Damian Lillard	POR	75.0	PointGuard	10.2	7.6	28.7	44.4
Jeremy Lin	BRK	36.0	PointGuard	15.7	8.1	35.5	43.8
Shaun Livingston	GSW	76.0	PointGuard	15.1	6.2	13.5	54.7
Shawn Long	PHI	18.0	Center	9.5	20.0	10.7	56.00000000000001
Kevon Looney	GSW	53.0	Center	12.2	15.2	8.5	52.300000000000004
Brook Lopez	BRK	75.0	Center	12.1	9.6	14.8	47.4
Robin Lopez	CHI	81.0	Center	9.9	12.3	5.6	49.3
Kevin Love	CLE	60.0	PowerForward	10.9	19.5	9.8	42.699999999999996
Kyle Lowry	TOR	60.0	PointGuard	13.8	7.3	29.9	46.400000000000006
John Lucas	MIN	5.0	PointGuard	0.0	0.0	12.5	25.0
Timothe Luwawu-Cabarrot	PHI	69.0	SmallForward	15.0	6.9	9.6	40.2
Trey Lyles	UTA	71.0	PowerForward	11.9	11.7	9.6	36.199999999999996
Shelvin Mack	UTA	55.0	PointGuard	17.8	6.1	20.4	44.6
Ian Mahinmi	WAS	31.0	Center	19.1	15.2	4.7	58.599999999999994
Thon Maker	MIL	57.0	Center	7.7	11.8	6.2	45.9
Boban Marjanovic	DET	35.0	Center	6.0	24.2	5.3	54.50000000000001
Jarell Martin	MEM	42.0	PowerForward	13.9	16.6	2.2	38.4
Wesley Matthews	DAL	73.0	ShootingGuard	9.9	6.0	13.6	39.300000000000004
Luc Mbah	LAC	80.0	SmallForward	10.1	5.4	3.1	50.5
James Michael	GSW	52.0	PowerForward	12.3	10.8	4.9	53.0
Patrick McCaw	GSW	71.0	ShootingGuard	12.1	5.2	9.0	43.3
Sheldon McClellan	WAS	30.0	ShootingGuard	5.4	6.7	7.0	40.0
C.J. McCollum	POR	80.0	ShootingGuard	9.9	5.8	18.0	48.0
T.J. McConnell	PHI	81.0	PointGuard	22.4	6.5	37.5	46.1
