Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,Position
2493,jason collins,NJN,23,213.36,117.93392,Stanford,USA,2001,1,18,77,4.5,3.9,1.1,3.5,0.107,0.142,0.138,0.5,0.094,Feb-01,
2494,jason collier,HOU,24,213.36,117.93392,Georgia Tech,USA,2000,1,15,25,4.2,3.3,0.4,-17.4,0.091,0.166,0.152,0.486,0.042,Feb-01,
2495,jason caffey,MIL,29,203.2,116.119552,Alabama,USA,1995,1,20,23,4.3,2.2,0.5,-2.9,0.096,0.092,0.179,0.544,0.073,Feb-01,
2496,jarron collins,UTA,23,210.82,114.305184,Stanford,USA,2001,2,52,70,6.4,4.2,0.8,2.4,0.113,0.14,0.152,0.532,0.065,Feb-01,
2497,jaren jackson,ORL,34,198.12,102.0582,Georgetown,USA,Undrafted,Undrafted,Undrafted,9,4.3,1.9,0.9,-13.9,0.008,0.136,0.145,0.503,0.09,Feb-01,
2498,jamison brewer,IND,21,187.96,80.739376,Auburn,USA,2001,2,40,13,0.3,0.6,0.7,3.8,0.044,0.15,0.083,0.4,0.321,Feb-01,
2499,james posey,DEN,25,203.2,97.52228,Xavier,USA,1999,1,18,73,10.7,5.9,2.5,-6.4,0.052,0.175,0.189,0.474,0.129,Feb-01,
2500,jason hart,SAS,24,187.96,82.100152,Syracuse,USA,2000,2,49,10,2.6,1.3,1.2,5.0,0.058,0.123,0.161,0.601,0.231,Feb-01,
2501,jermaine o'neal,IND,23,210.82,109.769264,None,USA,1996,1,17,72,19.0,10.5,1.6,1.7,0.082,0.225,0.251,0.521,0.079,Feb-01,
2502,jerome james,SEA,26,215.9,123.377024,Florida A&M,USA,1998,2,36,56,5.3,4.1,0.4,9.7,0.116,0.161,0.183,0.498,0.036,Feb-01,
2503,jerome moiso,CHH,24,208.28,105.233344,UCLA,France,2000,1,11,15,1.1,1.7,0.3,0.8,0.061,0.3,0.171,0.4,0.085,Feb-01,
2504,jud buechler,ORL,34,198.12,103.418976,Arizona,USA,1990,2,38,66,1.7,1.8,0.5,-7.5,0.047,0.149,0.089,0.463,0.069,Feb-01,
2505,joseph forte,BOS,21,193.04,87.996848,North Carolina,USA,2001,1,21,8,0.8,0.8,0.8,-25.6,0.027,0.143,0.19,0.218,0.273,Feb-01,
2506,jonathan bender,IND,21,213.36,99.336648,None,USA,1999,1,5,78,7.4,3.1,0.8,-1.6,0.045,0.119,0.176,0.538,0.064,Feb-01,
2507,jon barry,DET,32,195.58,95.25432,Georgia Tech,USA,1992,1,21,82,9.0,2.9,3.3,4.6,0.026,0.113,0.162,0.644,0.233,Feb-01,
2508,johnny newman,DAL,38,200.66,95.25432,Richmond,USA,1986,2,29,47,4.2,1.0,0.3,2.4,0.014,0.059,0.122,0.571,0.028,Feb-01,
2509,john wallace,PHX,28,205.74,102.0582,Syracuse,USA,1996,1,18,46,5.0,1.8,0.6,-6.9,0.064,0.136,0.24,0.493,0.099,Feb-01,
2510,john stockton,UTA,40,185.42,79.3786,Gonzaga,USA,1984,1,16,82,13.4,3.2,8.2,3.1,0.028,0.099,0.197,0.601,0.442,Feb-01,
2511,john starks,UTA,36,195.58,86.18248,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,66,4.4,1.0,1.1,-1.1,0.019,0.069,0.184,0.442,0.132,Feb-01,
2512,john crotty,UTA,32,185.42,83.91452,Virginia,USA,Undrafted,Undrafted,Undrafted,41,6.9,1.8,3.4,2.6,0.024,0.085,0.163,0.599,0.313,Feb-01,
2513,john amaechi,UTA,31,208.28,122.46984,Penn State,England,Undrafted,Undrafted,Undrafted,54,3.2,2.0,0.5,-12.3,0.099,0.119,0.204,0.412,0.091,Feb-01,
