Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_year,total_points
3569,Kobe Bryant,LAL,26,198.12,99.79024,None,USA,1996,1,13,66,27.6,5.9,6.0,-2.2,0.04,0.125,0.316,0.563,0.287,May-04,,1821.6000000000001
3603,Luke Walton,LAL,25,203.2,106.59412,Arizona,USA,2003,2,32,61,3.2,2.3,1.5,-7.4,0.079,0.132,0.152,0.492,0.2,May-04,,195.20000000000002
3621,Lamar Odom,LAL,25,208.28,102.0582,Rhode Island,USA,1999,1,4,64,15.2,10.2,3.7,-2.0,0.067,0.242,0.21,0.539,0.182,May-04,,972.8
3639,Tierre Brown,LAL,26,187.96,85.728888,McNeese State,USA,Undrafted,Undrafted,Undrafted,76,4.4,1.2,2.0,-5.1,0.023,0.079,0.2,0.437,0.248,May-04,,334.40000000000003
3670,Vlade Divac,LAL,37,215.9,117.93392,None,Serbia and Montenegro,1989,1,26,15,2.3,2.1,1.3,-14.2,0.142,0.133,0.165,0.469,0.247,May-04,,34.5
3713,Slava Medvedenko,LAL,26,208.28,113.398,None,Ukraine,Undrafted,Undrafted,Undrafted,43,3.8,1.8,0.3,-5.7,0.082,0.123,0.191,0.49,0.052,May-04,,163.4
3726,Sasha Vujacic,LAL,21,200.66,87.543256,None,Slovenia,2004,1,27,35,2.9,1.8,1.5,-1.4,0.036,0.14,0.152,0.403,0.185,May-04,,101.5
3745,Chris Mihm,LAL,25,213.36,120.20188,Texas,USA,2000,1,7,75,9.8,6.7,0.7,-3.8,0.12,0.177,0.187,0.552,0.046,May-04,,735.0
3753,Caron Butler,LAL,25,200.66,98.429464,Connecticut,USA,2002,1,10,77,15.5,5.8,1.9,-4.1,0.06,0.124,0.206,0.528,0.091,May-04,,1193.5
3766,Brian Grant,LAL,33,205.74,115.212368,Xavier,USA,1994,1,8,69,3.8,3.7,0.5,-5.0,0.1,0.155,0.115,0.539,0.048,May-04,,262.2
3767,Chucky Atkins,LAL,30,180.34,72.57472,South Florida,USA,Undrafted,Undrafted,Undrafted,82,13.6,2.4,4.4,-2.3,0.012,0.063,0.178,0.558,0.201,May-04,,1115.2
3768,Brian Cook,LAL,24,205.74,106.140528,Illinois,USA,2003,1,24,72,6.4,3.0,0.5,2.5,0.066,0.162,0.196,0.522,0.056,May-04,,460.8
